ID,SiteName,Address,Lat,Long,SiteType,NiceSiteType,PlugTypes,AvailableCount,TotalPorts,IsPlannedSite,RequireCable,Costs
141,RAA Charge Strath Motel,"4 North Parade, Strathalbyn SA 5255",-35.252198,138.8941485,7,Charging up to 22kW,Type 2,1,2,False,Some ports require a cable,
142,RAA Charge Steamtown Heritage Rail Centre,"2 Telford Avenue, Peterborough SA 5422",-32.975525,138.8265536,7,Charging at 7kW,Type 2,3,3,False,No ports require a cable,
143,RAA Charge Waikerie Motel,"108 Ian Oliver Drive, Waikerie SA 5330",-34.185989,139.9966618,7,Charging at 7kW,Type 2,2,2,False,All ports require a cable,
144,RAA Charge The Mill Apartments,"310 Main North Road, Clare SA 5453",-33.831448,138.6094747,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
145,RAA Charge Comfort Inn Whyalla,"99 Playford Avenue, Whyalla Playford SA 5600",-33.034573,137.5622404,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
146,RAA Charge Old Tailem Town Pioneer Village,"8552 Princes Highway, Tailem Bend SA 5260",-35.223806,139.4227021,7,Charging at 7kW,Type 2,2,2,False,Some ports require a cable,
147,RAA Charge West Franklin Apartments,"180 Franklin Street, Adelaide SA 5000",-34.927272,138.5924566,7,Charging up to 60kW,CCS2,2,2,False,No ports require a cable,$0.64 - $0.73/kWh
148,RAA Charge Discovery Parks - Hahndorf,"145a Mount Barker Road, Hahndorf SA 5245",-35.023437,138.7995414,7,Charging at 7kW,Type 2,4,4,False,No ports require a cable,$0.30 - $0.73/kWh
149,RAA Charge Discovery Parks - Goolwa,"40 Kessell Road, Goolwa SA 5214",-35.497373,138.7744819,7,Charging up to 22kW,Type 2,2,2,False,No ports require a cable,$0.30 - $0.37/kWh
150,RAA Charge Summit Aquatic & Leisure Centre,"391 Bald Hills Road, Mount Barker SA 5251",-35.074679,138.8882258,7,Charging up to 11kW,Type 2,2,2,False,Some ports require a cable,$0.30 - $0.37/kWh
151,RAA Charge Jurlique Farm,"31 Liebelt Road, Biggs Flat SA 5153",-35.06873,138.7790688,7,Charging at 7kW,Type 2,2,2,False,No ports require a cable,$0.00 - $0.37/kWh
152,RAA Charge RAA Shop Mile End,"101 Richmond Road, Mile End SA 5031",-34.941553,138.5736907,7,Charging at 7kW,Type 2,2,2,False,Some ports require a cable,$0.64 - $0.73/kWh
153,RAA Charge Happy Valley Reservoir,"100 Chandlers Hill Road, Happy Valley SA 5158",-35.081111,138.570833,7,Charging up to 60kW,"Type 2, CCS2",4,4,False,No ports require a cable,
154,RAA Charge Irvine Wines,"63 Valley Road, Angaston SA 5235",-34.512049,139.0493029,7,Charging up to 22kW,Type 2,0,1,False,No ports require a cable,$0.30 - $0.37/kWh
